Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.04     0.00        1     0.00     0.00  base_test3()::{lambda(int)#1} std::for_each<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, base_test3()::{lambda(int)#1}>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, base_test3()::{lambda(int)#1}, base_test3()::{lambda(int)#1})
  0.00      0.04     0.00        1     0.00     0.00  base_test5()::{lambda(int)#1} std::for_each<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, base_test5()::{lambda(int)#1}>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, base_test5()::{lambda(int)#1}, base_test5()::{lambda(int)#1})
  0.00      0.04     0.00        1     0.00     0.00  base_test4()::{lambda(int)#1}::operator()(int) const
  0.00      0.04     0.00        1     0.00     0.00  base_test4()::{lambda(int)#1}::operator void (*)(int)() const
  0.00      0.04     0.00        1     0.00     0.00  base_test4()::{lambda(int)#1}::_FUN(int)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2019 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 25.00% of 0.04 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00    0.04                 main [1]
                0.04    0.00       1/1           test_high_perfermance() [2]
                0.00    0.00       1/1           base_test4() [97]
                0.00    0.00       1/1           base_test3() [96]
                0.00    0.00       1/1           base_test2() [95]
                0.00    0.00       1/1           base_test() [130]
                0.00    0.00       1/1           base_test5() [98]
-----------------------------------------------
                0.04    0.00       1/1           main [1]
[2]    100.0    0.04    0.00       1         test_high_perfermance() [2]
-----------------------------------------------
                0.00    0.00      32/32          bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&) [10]
[9]      0.0    0.00    0.00      32         __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const [9]
-----------------------------------------------
                0.00    0.00       4/16          base_test5()::{lambda(int)#1} std::for_each<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, base_test5()::{lambda(int)#1}>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, base_test5()::{lambda(int)#1}, base_test5()::{lambda(int)#1}) [142]
                0.00    0.00       6/16          base_test3()::{lambda(int)#1} std::for_each<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, base_test3()::{lambda(int)#1}>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, base_test3()::{lambda(int)#1}, base_test3()::{lambda(int)#1}) [141]
                0.00    0.00       6/16          void (*std::for_each<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, void (*)(int)>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, void (*)(int)))(int) [140]
[10]     0.0    0.00    0.00      16         bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&) [10]
                0.00    0.00      32/32          __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const [9]
-----------------------------------------------
                0.00    0.00       3/13          base_test5()::{lambda(int)#1} std::for_each<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, base_test5()::{lambda(int)#1}>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, base_test5()::{lambda(int)#1}, base_test5()::{lambda(int)#1}) [142]
                0.00    0.00       5/13          base_test3()::{lambda(int)#1} std::for_each<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, base_test3()::{lambda(int)#1}>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, base_test3()::{lambda(int)#1}, base_test3()::{lambda(int)#1}) [141]
